nome,telefone,whatsapp,celular,site,endereco,categoria,score,avaliacoes,maps,fotos,nrl,recencia_dias,segmento,query_origem
ATC - Faculdade de Aviação Civil,(11) 3090-5548,551130905548,Nao,https://atcaviacao.com.br/,"R. Salvador Cabral, 345 - Centro, Mogi das Cruzes - SP, 08770-320",educational institution,5,725,https://maps.google.com/?cid=12138356104487507399&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,10,5,58,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_curitiba_pr
Flight Class,(51) 99595-2523,5551995952523,Sim,https://curso.flightclass.com.br/,"R. Novo Hamburgo, 106 - Passo d'Areia, Porto Alegre - RS, 90520-160",transportation service,5,186,https://maps.google.com/?cid=7267011308109440160&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,0,5,57,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_porto_alegre_rs
VelAir Escola de Aviação Civil,(31) 97155-7071,5531971557071,Sim,http://www.velair.com.br/,"R. Líder, 43 - Pampulha, Belo Horizonte - MG, 31270-480",transportation service,5,126,https://maps.google.com/?cid=8317555448632971892&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,10,5,105,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_belo_horizonte_mg
Grandis Soluções - Consultoria Aeronáutica e Cursos para Pilotos e Comissários de voo,(61) 99321-9967,5561993219967,Sim,http://www.grandissolucoes.com.br/,"Setor de Clubes Esportivos Norte - Asa Norte Conjunto 6 - Plano Piloto, Brasília - DF, 70800-112",consultant,5,78,https://maps.google.com/?cid=13052599070656282265&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,10,5,114,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_brasilia_df
Sky Escola de Aeronáutica,(62) 99961-4779,5562999614779,Sim,https://skyescoladeaviacao.com.br/,"Aeródromo Nacional de Aviação - GO-070 - St. Novo Planalto, Goiânia - GO, 74480-080",transportation service,5,62,https://maps.google.com/?cid=3253416794602229924&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,10,5,294,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_goiania_go
Aerocurso - Escola de Aviação Civil | CIAC 22,(92) 99426-2467,5592994262467,Sim,https://www.aerocurso.com/,"Workspace Salas Comerciais - Av. André Araújo, 2721 - sala 3.1 - Morada do Sol, Manaus - AM, 69060-000",corporate office,5,42,https://maps.google.com/?cid=9281388406281749166&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,3,5,84,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_manaus_am
EPEAC Aviação,,,Nao,https://epeac.com.br/,"R. Emílio Antonon, 565 - Hangar AIBM - Aeroporto, Jundiaí - SP, 13212-010",educational institution,5,37,https://maps.google.com/?cid=13470688533528838226&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,10,5,101,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_jundiai_sp
Aero Agrícola Santos Dumont,(51) 3723-7000,555137237000,Nao,https://www.aviacaoagricola.com.br/,"AEROPORTO NERO MOURA, S/N - Vila Leopoldina, Cachoeira do Sul - RS, 96503-217",transportation service,5,27,https://maps.google.com/?cid=4716636864765037772&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,8,5,382,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_porto_alegre_rs
DH Escola de Aviação Civil,(37) 99171-8505,5537991718505,Sim,http://www.voedh.com.br/,"Rua Ponte Nova, 57 - Aeroporto de Pará de Minas - Hangar 15 - Santos Dumont, Pará de Minas - MG, 35660-321",transportation service,5,27,https://maps.google.com/?cid=9151243947417993127&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,10,5,1053,Escola de Aviação,escola_de_aviacao_formacao_de_pilotos_uberlandia_mg
Go Air Escola de Aviação Civil,(11) 2089-6300,551120896300,Nao,http://www.goair.com.br/,"Avenida Olavo Fontoura, 1078 - Setor C, Lote 7 - Hangar Go Air - Santana, São Paulo - SP, 02012-021",educational institution,5,25,https://maps.google.com/?cid=3068140234482303313&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,10,5,1604,Escola de Aviação,aeroclube_escola_piloto_brasil
